AGECL,HHSEX,EDCL,KIDS,MARRIED,HOUSECL,OCCAT2,LIFECL,INCCAT,NWCAT,WSAVED,SPENDMOR,KNOWL,Risk_tolerance
3,1,3,0,1,2,1,2,2,1,3,4,7,0.013452914798206279
3,1,3,0,1,2,1,2,2,1,3,4,7,0.013452914798206279
3,1,3,0,1,2,1,2,2,1,3,4,7,0.013452914798206279
3,1,3,0,1,2,1,2,2,1,3,4,7,0.013452914798206279
3,1,3,0,1,2,1,2,2,1,3,4,7,0.013452914798206279
4,1,3,0,1,1,4,6,4,3,3,5,9,0.9653794940079894
4,1,3,0,1,1,4,6,4,3,3,5,9,0.9653794940079894
4,1,3,0,1,1,4,6,4,3,3,5,9,0.9653794940079894
4,1,3,0,1,1,4,6,4,3,3,5,9,0.9653794940079894
4,1,3,0,1,1,4,6,4,3,3,5,9,0.9653794940079894
4,1,3,0,1,1,1,5,5,5,3,4,8,0.8077571669477235
4,1,3,0,1,1,1,5,5,5,3,4,8,0.8077571669477235
4,1,3,0,1,1,1,5,5,5,3,4,8,0.8077571669477235
